                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7268,                 2.1514,                0.92441,                0.04575,                0.32582,                0.15887,                0.08524,                 1.4312,                 2.5225,                0.86935,             0.00041045,             0.00041045,             0.00041045
                      1,                 1.4984,                 1.1179,                0.87573,                0.87925,                0.25539,                0.28927,                0.16102,                 1.3998,                 1.1887,                0.86861,             0.00081893,             0.00081893,             0.00081893
                      2,                 1.4426,                 1.0188,                0.86354,                0.71848,                0.35936,                0.41261,                 0.2078,                 1.4372,                 1.0553,                 0.8679,              0.0012192,              0.0012192,              0.0012192
                      3,                 1.4297,                0.93068,                0.86325,                0.72786,                0.54507,                0.56304,                0.32647,                 1.2439,                0.82404,                0.85688,              0.0012129,              0.0012129,              0.0012129
                      4,                 1.3897,                0.87513,                0.85449,                0.83559,                0.53874,                 0.6275,                0.37997,                 1.2545,                0.78158,                0.85113,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3503,                0.80647,                0.84845,                0.87098,                0.47891,                0.61769,                0.36341,                 1.2283,                0.76623,                0.85234,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3599,                0.79063,                0.85092,                0.79116,                0.58137,                0.65458,                0.34719,                 1.2875,                0.73866,                0.85885,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3127,                0.76301,                0.84889,                 0.6892,                0.52361,                0.55233,                0.29728,                 1.2482,                0.75472,                0.85581,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3328,                0.74147,                0.84507,                0.71792,                0.56923,                 0.6367,                 0.3637,                 1.2846,                0.72384,                0.85336,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3076,                0.74167,                0.84828,                0.85209,                0.62649,                0.68567,                0.39087,                  1.226,                0.73127,                  0.849,               0.001151,               0.001151,               0.001151
                     10,                 1.3001,                0.71509,                0.84527,                0.81292,                0.60406,                 0.6749,                0.38254,                 1.2491,                0.71956,                0.85047,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3318,                0.71631,                0.84775,                0.84877,                0.60527,                0.67234,                 0.3898,                  1.177,                0.66708,                0.84503,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2528,                0.68386,                0.83836,                0.89021,                0.60178,                0.69243,                0.41226,                 1.1647,                0.62652,                 0.8433,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2521,                0.66217,                0.83872,                0.83151,                0.65878,                0.70884,                0.41041,                 1.1657,                0.63697,                0.84392,              0.0011015,              0.0011015,              0.0011015
